date,industry,window,secid,ret,industry_ret,excess_ret,industry_rank_pct,group,FREE_MV,S_DQ_AMOUNT
2026-06-23,通用设备,3,301261.SZ,-0.04822311000056523,0.011820855384676983,-0.06004396538524221,0.13617021276595745,bottom,272004.18,231908.45
2026-06-23,通用设备,3,300354.SZ,-0.04847664433673504,0.011820855384676983,-0.060297499721412025,0.13191489361702127,bottom,211225.95997800003,73374.071
2026-06-23,通用设备,3,603131.SH,-0.04873549097841723,0.011820855384676983,-0.06055634636309421,0.1276595744680851,bottom,339501.33791600005,113160.889
2026-06-23,通用设备,3,688610.SH,-0.049910942194279606,0.011820855384676983,-0.06173179757895659,0.12340425531914893,bottom,563694.355752,393545.384
2026-06-23,通用设备,3,300349.SZ,-0.05170780216550597,0.011820855384676983,-0.06352865755018294,0.11914893617021277,bottom,315536.647266,107348.533
2026-06-23,通用设备,3,920169.BJ,-0.05195973893071093,0.011820855384676983,-0.0637805943153879,0.1148936170212766,bottom,73472.945775,35420.183
2026-06-23,通用设备,3,002931.SZ,-0.054886054478770596,0.011820855384676983,-0.06670690986344757,0.11063829787234042,bottom,744920.1190479998,902365.734
2026-06-23,通用设备,3,301137.SZ,-0.05906655125957805,0.011820855384676983,-0.07088740664425502,0.10638297872340426,bottom,225397.75655,137221.04
2026-06-23,通用设备,3,300263.SZ,-0.061376558087671285,0.011820855384676983,-0.07319741347234826,0.10212765957446808,bottom,1311662.995056,1478416.063
2026-06-23,通用设备,3,000039.SZ,-0.06358554668580041,0.011820855384676983,-0.07540640207047739,0.09787234042553192,bottom,1515275.291273,411942.339
2026-06-23,通用设备,3,688433.SH,-0.06455017825511522,0.011820855384676983,-0.0763710336397922,0.09361702127659574,bottom,1357473.230974,674536.229
2026-06-23,通用设备,3,300154.SZ,-0.06489972757097284,0.011820855384676983,-0.07672058295564982,0.08936170212765958,bottom,128988.411615,68065.123
2026-06-23,通用设备,3,603090.SH,-0.06624938554120074,0.011820855384676983,-0.07807024092587772,0.0851063829787234,bottom,290138.792,486237.009
2026-06-23,通用设备,3,688697.SH,-0.06866114151210656,0.011820855384676983,-0.08048199689678354,0.08085106382978724,bottom,353999.41592400003,177764.184
2026-06-23,通用设备,3,300984.SZ,-0.06877655393193827,0.011820855384676983,-0.08059740931661524,0.07659574468085106,bottom,319392.46802399994,145071.056
2026-06-23,通用设备,3,300257.SZ,-0.07405517802441697,0.011820855384676983,-0.08587603340909394,0.07234042553191489,bottom,1044554.311548,215306.332
2026-06-23,通用设备,3,300445.SZ,-0.07488266554301504,0.011820855384676983,-0.08670352092769201,0.06808510638297872,bottom,240929.719436,122006.543
2026-06-23,通用设备,3,300946.SZ,-0.07662002062896534,0.011820855384676983,-0.08844087601364231,0.06382978723404255,bottom,206853.7185,86860.164
2026-06-23,通用设备,3,688115.SH,-0.07715267626343358,0.011820855384676983,-0.08897353164811056,0.059574468085106386,bottom,147628.58354999998,112309.845
2026-06-23,通用设备,3,001696.SZ,-0.07811777926395269,0.011820855384676983,-0.08993863464862967,0.05531914893617021,bottom,1562167.9919999999,3991367.234
2026-06-23,通用设备,3,301273.SZ,-0.07852133205679834,0.011820855384676983,-0.09034218744147532,0.05106382978723404,bottom,127211.460288,57713.763
2026-06-23,通用设备,3,002943.SZ,-0.07904152878260273,0.011820855384676983,-0.09086238416727971,0.04680851063829787,bottom,785067.12521,469507.707
2026-06-23,通用设备,3,603269.SH,-0.0791223210462082,0.011820855384676983,-0.09094317643088518,0.0425531914893617,bottom,499105.63733999996,751029.841
2026-06-23,通用设备,3,688337.SH,-0.07944598747691867,0.011820855384676983,-0.09126684286159564,0.03829787234042553,bottom,487472.46564000007,450119.106
2026-06-23,通用设备,3,002342.SZ,-0.08118045667883633,0.011820855384676983,-0.09300131206351331,0.03404255319148936,bottom,656590.2200000001,539348.251
2026-06-23,通用设备,3,301413.SZ,-0.09159598324789986,0.011820855384676983,-0.10341683863257684,0.029787234042553193,bottom,563722.612849,343153.953
2026-06-23,通用设备,3,301603.SZ,-0.09502353147208886,0.011820855384676983,-0.10684438685676584,0.02553191489361702,bottom,502672.365,541117.339
2026-06-23,通用设备,3,002058.SZ,-0.09999402911675137,0.011820855384676983,-0.11181488450142835,0.02127659574468085,bottom,161756.83275,53471.875
2026-06-23,通用设备,3,688112.SH,-0.11008511536585441,0.011820855384676983,-0.12190597075053139,0.01702127659574468,bottom,342726.454114,397549.783
2026-06-23,通用设备,3,300488.SZ,-0.1699376258260843,0.011820855384676983,-0.18175848121076127,0.01276595744680851,bottom,286361.75943000003,412432.079
2026-06-23,通用设备,3,920961.BJ,-0.18543197920834675,0.011820855384676983,-0.19725283459302373,0.00851063829787234,bottom,173868.2483,140357.973
2026-06-23,通用设备,3,000777.SZ,-0.1881942108530703,0.011820855384676983,-0.20001506623774729,0.00425531914893617,bottom,505163.32452799997,522696.034
2026-06-23,通用设备,3,920725.BJ,0.3562957490912382,0.011820855384676983,0.3444748937065612,1.0,top,302321.895,1520971.969
2026-06-23,通用设备,3,301548.SZ,0.27362952595931134,0.011820855384676983,0.26180867057463436,0.9957446808510638,top,246318.91515,706102.179
2026-06-23,通用设备,3,300943.SZ,0.2723477084516741,0.011820855384676983,0.26052685306699713,0.9914893617021276,top,503449.47296999994,734742.03
2026-06-23,通用设备,3,920662.BJ,0.2702903297399115,0.011820855384676983,0.25846947435523454,0.9872340425531915,top,62319.79688999999,161551.431
2026-06-23,通用设备,3,603757.SH,0.24516340488806776,0.011820855384676983,0.23334254950339078,0.9829787234042553,top,568819.1266559999,509399.027
2026-06-23,通用设备,3,600172.SH,0.24250379859875082,0.011820855384676983,0.23068294321407384,0.9787234042553191,top,1594316.09148,5472236.917
2026-06-23,通用设备,3,920035.BJ,0.23202705283507452,0.011820855384676983,0.22020619745039755,0.9744680851063829,top,51600.9672,195600.584
2026-06-23,通用设备,3,300179.SZ,0.22780433449521276,0.011820855384676983,0.21598347911053578,0.9702127659574468,top,1721661.579809,7240613.568
2026-06-23,通用设备,3,000811.SZ,0.20813554505584797,0.011820855384676983,0.196314689671171,0.9659574468085106,top,2785964.472819,4419304.483
2026-06-23,通用设备,3,300420.SZ,0.1882288553387852,0.011820855384676983,0.17640799995410822,0.9617021276595744,top,741026.020768,2210415.635
2026-06-23,通用设备,3,300861.SZ,0.1668263633930156,0.011820855384676983,0.15500550800833862,0.9574468085106383,top,627056.550505,1148381.556
2026-06-23,通用设备,3,301448.SZ,0.14527712306326857,0.011820855384676983,0.1334562676785916,0.9531914893617022,top,157866.94,144273.839
2026-06-23,通用设备,3,603339.SH,0.12805192685989653,0.011820855384676983,0.11623107147521955,0.948936170212766,top,251566.717584,346630.085
2026-06-23,通用设备,3,688450.SH,0.12602964050156773,0.011820855384676983,0.11420878511689075,0.9446808510638298,top,180723.63866400003,170950.639
2026-06-23,通用设备,3,300553.SZ,0.11392450996885373,0.011820855384676983,0.10210365458417675,0.9404255319148936,top,570246.257412,414339.233
2026-06-23,通用设备,3,605100.SH,0.1084956924692202,0.011820855384676983,0.09667483708454322,0.9361702127659575,top,446716.6144,405275.54
2026-06-23,通用设备,3,688001.SH,0.10660821029728318,0.011820855384676983,0.0947873549126062,0.9319148936170213,top,941850.110618,1348515.056
2026-06-23,通用设备,3,688333.SH,0.09886294200444645,0.011820855384676983,0.08704208661976948,0.9276595744680851,top,1921272.701474,1568355.352
2026-06-23,通用设备,3,301399.SZ,0.09352605801082348,0.011820855384676983,0.0817052026261465,0.9234042553191489,top,90659.8,211355.887
2026-06-23,通用设备,3,300557.SZ,0.09311189358162686,0.011820855384676983,0.08129103819694988,0.9191489361702128,top,281270.756592,410779.481
2026-06-23,通用设备,3,920510.BJ,0.09013312770381443,0.011820855384676983,0.07831227231913745,0.9148936170212766,top,134698.3638,297412.027
2026-06-23,通用设备,3,002272.SZ,0.08930052035023017,0.011820855384676983,0.0774796649655532,0.9106382978723404,top,798902.811068,2189627.672
