n_stock,industry_ret,top_mean_excess,bottom_mean_excess,k_spread,k_score,dispersion_std,iqr_excess,positive_ratio,negative_ratio,date,industry,window,k_zscore,k_pct
58,-0.01588958540769488,0.05255705354125304,-0.038946712953585344,0.09150376649483838,0.09150376649483838,0.034141585912983094,0.03302398563645248,0.6896551724137931,0.3103448275862069,2026-06-23,一般零售,3,0.23591355415510049,0.6482213438735178
16,0.009096404844432797,0.025813640554238466,-0.07221750546444755,0.09803114601868601,0.09803114601868601,0.037266091998124064,0.04085391072006794,0.3125,0.6875,2026-06-23,摩托车及其他,3,0.3297487845521236,0.6403162055335968
22,-0.03439202373427372,0.058177553017007,-0.03729798639068474,0.09547553940769174,0.09547553940769174,0.037517342265847645,0.029426510477622125,0.7727272727272727,0.22727272727272727,2026-06-23,文娱用品,3,0.02029456474610113,0.6126482213438735
23,-0.0022816661905247053,0.04264485368781979,-0.03170356021325317,0.07434841390107297,0.07434841390107297,0.026501960672293375,0.027785759022585177,0.4782608695652174,0.5217391304347826,2026-06-23,旅游及景区,3,0.021072200609799054,0.6086956521739131
14,0.012722161119658496,0.03159826689943196,-0.0344774080085418,0.06607567490797375,0.06607567490797375,0.02617574694462604,0.043052380388438394,0.42857142857142855,0.5714285714285714,2026-06-23,调味发酵品Ⅱ,3,-0.09739148823833262,0.5928853754940712
18,0.01385152467780695,0.03812166584945184,-0.0687561730607488,0.10687783891020064,0.10687783891020064,0.03986151828134238,0.036585837887443295,0.4444444444444444,0.5555555555555556,2026-06-23,影视院线,3,0.08670889000289665,0.5810276679841897
31,0.011553219411771476,0.04008392938940606,-0.03511565045787903,0.07519957984728509,0.07519957984728509,0.02870304973150118,0.028478722551387392,0.6129032258064516,0.3870967741935484,2026-06-23,医药商业,3,-0.05940595271724304,0.5612648221343873
13,-0.020491899624669067,0.04416295968945088,-0.03496550379682257,0.07912846348627345,0.07912846348627345,0.02835971286264321,0.04202878749781069,0.5384615384615384,0.46153846153846156,2026-06-23,饰品,3,-0.11855562435771236,0.541501976284585
12,0.002836915694524129,0.0434251727931029,-0.043921347350264955,0.08734652014336786,0.08734652014336786,0.03303708762699416,0.043643379404834204,0.5833333333333334,0.4166666666666667,2026-06-23,个护用品,3,-0.02979555642018333,0.5335968379446641
44,-0.00984972394088027,0.053056062481976335,-0.02393626693872028,0.07699232942069661,0.07699232942069661,0.02789084554034746,0.03327872506158891,0.7045454545454546,0.29545454545454547,2026-06-23,物流,3,-0.025431064853641876,0.5138339920948617
12,-0.018070282925623345,0.04801545087658297,-0.02596810224867602,0.07398355312525899,0.07398355312525899,0.03061141382945424,0.047611080946914686,0.5833333333333334,0.4166666666666667,2026-06-23,贸易Ⅱ,3,-0.1831729096274371,0.48221343873517786
59,-0.02994351056400197,0.05141973282771304,-0.048840913584151505,0.10026064641186455,0.10026064641186455,0.038548226215668016,0.032646222933707225,0.3898305084745763,0.6101694915254238,2026-06-23,军工电子Ⅱ,3,-0.22831155865904476,0.4308300395256917
13,-0.03968504954114199,0.0364626786135114,-0.0191461286573405,0.0556088072708519,0.0556088072708519,0.020202253720499302,0.021101946483488287,0.8461538461538461,0.15384615384615385,2026-06-23,商用车,3,-0.39206208212953275,0.39920948616600793
29,-0.01893299073614471,0.04905148284389158,-0.041277563804407086,0.09032904664829866,0.09032904664829866,0.03349794423756128,0.031104283577152447,0.4827586206896552,0.5172413793103449,2026-06-23,风电设备,3,-0.4773817875690174,0.33992094861660077
22,-0.012533559686804889,0.020174604375644195,-0.03329006255557718,0.05346466693122137,0.05346466693122137,0.020052512209780295,0.017675984263110234,0.5454545454545454,0.45454545454545453,2026-06-23,普钢,3,-0.5363297584320368,0.31620553359683795
10,-0.03837638975646046,0.020330104238674596,-0.015882336303104372,0.03621244054177897,0.03621244054177897,0.014716382026514457,0.015014361624098638,0.7,0.3,2026-06-23,航海装备Ⅱ,3,-0.6808337466661567,0.08571428571428572
